Depth; Mean; Variance; Standard deviation
5; 0.2634942502103688; 0.000503441515044454; 0.022437502424388835
15; 0.2489651476609433; 0.000477773350267354; 0.021858027135753914
25; 0.2354338583326177; 0.000463173160228980; 0.021521458134359316
35; 0.2228846622477850; 0.000431883839129440; 0.020781815106709053
45; 0.2108549591859987; 0.000387964509998090; 0.019696814717057434
55; 0.1991084264726173; 0.000334939633818405; 0.018301356065013482
65; 0.1876547911443133; 0.000284967249422415; 0.016880972999872243
75; 0.1766129143298025; 0.000225996616472560; 0.015033183843503026
85; 0.1651594652469909; 0.000162390281966655; 0.012743244561988755
95; 0.1520378122342999; 0.000109704636120663; 0.010473998096269787
105; 0.1466897563841745; 8.91990976029287e-05; 0.00944452738907187
115; 0.1375138462634111; 6.58093668285688e-05; 0.008112297259628053
125; 0.1291105077187464; 5.335497187524599e-05; 0.0073044487728538415
135; 0.1214819740523726; 4.742582572019154e-05; 0.006886641105807064
145; 0.1149101913745539; 4.3337151435385745e-05; 0.006583095885325212
155; 0.1090671400546524; 3.951883504182367e-05; 0.006286400801875718
165; 0.1037920916983562; 3.64305062401065e-05; 0.006035768902145484
175; 0.0991418385261553; 3.451358600773206e-05; 0.005874826466180262
185; 0.0950919389056526; 3.2375018219734675e-05; 0.005689904939428661
195; 0.0916113346603196; 3.084017975706223e-05; 0.005553393535223506
205; 0.0885771978760791; 2.895110311736927e-05; 0.005380622930234869
215; 0.0859321003877646; 2.7174918883266603e-05; 0.005212956827297403
225; 0.0836067124303342; 2.5429947507723384e-05; 0.0050428114685880715
