Depth; Mean; Variance; Standard deviation
5; 34.5476460403180; 0.06007074323328246; 0.24509333575860945
15; 34.5567419239074; 0.05997460412994543; 0.24489712968907054
25; 34.5953786986189; 0.05940470900179379; 0.24373081258181903
35; 34.6533809416091; 0.05838554022094924; 0.24163100012405123
45; 34.7159942281470; 0.05766160942211035; 0.24012831865923343
55; 34.7737773656595; 0.05718184711656207; 0.23912726134124088
65; 34.8233653941431; 0.05690329247441789; 0.23854411012309211
75; 34.8640548571675; 0.05686164979542857; 0.23845680907751107
85; 34.8946684755262; 0.05690541135738735; 0.23854855136300315
95; 34.9145288027546; 0.05696304923805384; 0.23866933032556543
105; 34.9523827255303; 0.05693372561975969; 0.23860789094193782
115; 34.9564708081097; 0.05686253847836554; 0.23845867247463562
125; 34.9572196443218; 0.05679271401221725; 0.23831221960322818
135; 34.9580149818220; 0.05673752898979663; 0.23819640843177428
145; 34.9594041885092; 0.05670522886006821; 0.23812859731680322
155; 34.9617613453292; 0.05669875045701147; 0.23811499418770646
165; 34.9645535062396; 0.05670237475919637; 0.23812260446920275
175; 34.9676362343133; 0.05670461696652149; 0.23812731251690028
185; 34.9691550941273; 0.05670286285414368; 0.23812362934858794
195; 34.9710786242774; 0.05670626689237978; 0.23813077686930723
205; 34.9711766413845; 0.05670500214430586; 0.23812812127992333
215; 34.9709881521240; 0.05669342125369363; 0.23810380352630584
225; 34.9696517278573; 0.05668299852520193; 0.23808191557781522
