country,year,area_square_kilometres,total_population,population_density_pers_per_sq_km,population_aged_0_14_male,population_aged_0_14_female,population_aged_15_64_male,population_aged_15_64_female,population_aged_64_male,population_aged_64_female,total_population_male,total_population_female,life_expectancy_at_birth_women,life_expectancy_at_birth_men,life_expectancy_at_age_65_women,life_expectancy_at_age_65_men,total_fertility_rate,adolescent_fertility_rate,mean_age_of_women_at_birth_of_first_child,computer_use_16_24_male,computer_use_16_24_female,computer_use_25_54_male,computer_use_25_54_female,computer_use_55_74_male,computer_use_55_74_female,women_in_the_labour_force_percent_of_corresponding_total_for_both_sexes,female_part_time_employment_percent_of_both_sexes,gender_pay_gap_in_monthly_earnings,gender_pay_gap_in_hourly_earning_wage_rate,female_tertiary_students_percent_of_total,women_researchers_percent_of_corresponding_total_for_both_sexes,female_legislators_senior_officials_and_managers_percent_of_total,female_professionals_percent_of_total_for_both_sexes,female_clerks_percent_of_total_for_both_sexes,female_craft_and_related_workers_percent_of_total_for_both_sexes,female_plant_and_machine_operators_and_assemblers_percent_of_total_for_both_sexes,female_government_ministers_percent_of_total,female_members_of_parliament_percent_of_total,female_ambassadors_percent_of_total,female_judges_percent_of_total,women_percent_of_all_victims_of_homicides,total_employment_growth_rate,unemployment_rate,youth_unemployment_rate,economic_acivity_rate_women_15_64,economic_activity_rate_men_15_64,gdp_at_current_prices_and_ppps_millions_of_us,gdp_at_current_prices_millions_of_ncus,gdp_per_capita_at_current_prices_and_ppps_us,gdp_per_capita_at_current_prices_ncus,final_consumption_expenditure_per_capita_us_dollars_current_ppps,purchasing_power_parity_ppp_ncu_per_us,exchange_rate_xr_ncu_per_us,consumer_price_index_growth_rate,export_of_goods_and_services_per_cent_of_gdp,import_of_goods_and_services_per_cent_of_gdp,external_balance_on_goods_and_services_per_cent_of_gdp,gdp_in_agriculture_isic4_a_output_approach_index_2005_100,gdp_in_industry_incl_construction_isic4_b_f_output_approach_index_2005_100,gdp_in_services_isic4_g_u_output_approach_index_2005_100,gdp_in_agriculture_etc_isic4_a_output_approach_per_cent_share_of_gva,gdp_in_industry_etc_isic4_b_e_output_approach_per_cent_share_of_gva,gdp_in_construction_isic4_f_output_approach_per_cent_share_of_gva,gdp_in_trade_hospitality_transport_and_communication_isic4_g_j_output_approach_per_cent_share_of_gva,gdp_in_finance_and_business_services_isic4_k_n_output_approach_per_cent_share_of_gva,gdp_in_public_administration_education_and_health_isic4_o_q_output_approach_per_cent_share_of_gva,gdp_in_other_service_activities_isic4_r_u_output_approach_per_cent_share_of_gva,employment_in_agriculture_hunting_forestry_and_fishing_isic_rev_4_a_share_of_total_employment,employment_in_industry_and_energy_isic_rev_4_b_e_share_of_total_employment,employment_in_construction_isic_rev_4_f_share_of_total_employment,employment_in_trade_hotels_restaurants_transport_and_communications_isic_rev_4_g_j_share_of_total_employment,employment_in_finance_real_estate_and_business_services_isic_rev_4_k_n_share_of_total_employment,employment_in_public_administration_education_and_health_isic_rev_4_o_q_share_of_total_employment,employment_in_other_service_activities_isic_rev_4_r_u_share_of_total_employment,persons_killed_in_road_accidents,persons_injured_in_road_accidents,total_length_of_motorways_km,total_length_of_railway_lines_km
Albania,2000,28748,3401198,118.31077,564851,529820,1029446,1086946,82588,107547,49.30278,50.69722,78.11,72.07,17.16,13.52,2.4,15.24086,,,,,,,,41.23149,,,,61.3549,,,,,,,,5.16129,,,,0.29953,16.8,,,,11975.49451,501199,3890.19371,162812.58324,3595.59866,41.85205,143.70942,0.04958,20.11528,43.33879,-23.22351,86.60708,60.547,80.00773,27.79084,9.13831,12.84876,27.66077,12.22813,9.19759,1.1356,,,,,,,,280,336,,400
Albania,2001,28748,3073734,106.91992,460732,436652,963612,980800,108254,123684,49.86111,50.13889,80.45,74.12,19.51,15.85,2.1,16.49547,,,,,,,,40.64015,,,,61.96395,,,,,,,16.66667,5.16129,,,,-13.81973,16.4,,55.69606,82.64509,13326.07246,563448.8,4354.68371,184123.3657,3868.50614,42.28169,143.48483,3.10842,21.33342,45.15763,-23.82421,88.93947,72.6648,86.16708,25.41113,8.60389,15.7104,26.90267,12.26481,9.81242,1.29468,,,,,,,,297,250,,409
Albania,2002,28748,3093465,107.60627,452373,427711,977294,995773,112546,127768,49.8539,50.1461,79.2,73.75,18.38,15.15,2.29,14.66575,,,,,,,,38.82784,,,,62.33945,,,,,,,10,5.71429,,,,-0.04617,15.8,,,,14315.31024,610494.3,4691.9906,200095.80434,4287.0615,42.64625,140.15452,5.51499,20.9456,47.57943,-26.63383,90.76066,77.37945,89.23623,24.77302,7.6952,18.29394,25.48632,12.45278,10.24306,1.05568,,,,,,,,250,228,,428
Albania,2003,28748,3111162,108.22186,442939,417968,991075,1010693,116714,131773,49.84401,50.15599,78.42,73.31,17.54,14.47,2,16.35957,,,,,,,,38.9348,,,,62.02931,,,,,,,,,,,,0.66087,15,,,,15381.49231,677737.5,5060.33396,222967.83809,4626.60886,44.06188,121.86325,2.63093,20.84741,46.17322,-25.32581,93.43226,87.92819,90.09128,24.99078,9.38804,17.96485,23.74124,12.36612,10.49342,1.05555,,,,,,,,264,248,,428
Albania,2004,28748,3127264,108.78197,433178,407988,1004398,1024845,120801,136054,49.83196,50.16804,78.93,73.72,17.8,14.91,1.79,14.46712,,,,,,,,39.33824,,,,60.27475,,,,,,,5.55556,5.71429,,,,0.53897,14.4,,,,16805.57156,737655.5,5552.00023,243696.76967,4908.81899,43.89351,102.78005,2.28066,22.21758,44.82965,-22.61207,99.32611,94.30338,94.25657,23.39562,10.25082,17.84737,24.22121,12.47036,10.41553,1.39908,,,,,,,,315,820,,428
Albania,2005,28748,3142065,109.29682,422474,397035,1017940,1038397,124902,141317,49.81807,50.18193,78.6,72.1,,,1.78,18.5609,24,,,,,,,39.63134,,,,58.42874,,,,,,,5.55556,6.42857,,,,0.09502,14.1,,,,18427.29118,804163.2,6118.99464,267031.66871,5383.28921,43.63979,99.87025,2.36659,23.01299,47.85934,-24.84635,100,100,100,21.54198,11.13595,17.53491,24.5315,13.01708,10.50352,1.73507,,,,,,,,307,875,,
Albania,2006,28748,3146813,109.46198,412338,382518,1034511,1043079,129029,145338,50.07854,49.92146,78,73.9,,,,17.65727,25,,,,,,,39.57565,,,,58.04428,,,,,,,6.25,7.14286,,,,0.31713,13.8,,,,20920.41394,872735.1,6990.83188,291635.92922,6162.44321,41.71691,98.10338,2.37052,25.20961,49.05747,-23.84787,103.11851,109.2021,104.79513,20.46267,11.18687,18.05762,24.36381,13.75663,10.45057,1.72183,,,,,,,,277,1065,2655,
Albania,2007,28748,3161337,109.9672,403781,371622,1050345,1051923,133370,150296,50.21597,49.78403,,,,,1.3,17.44751,25,,,,,,,43.40859,62.92393,,,56.26449,,20.46979,58.86119,43.89878,19.10479,17.84046,6.25,7.14286,,,,0.42158,13.36596,20.1,56.79693,73.84459,22695.24932,965527.8,7641.44663,325091.34619,7048.80481,42.54317,90.42789,2.9335,28.24788,54.95422,-26.70635,105.9195,114.11472,112.39243,19.68657,10.77218,18.30993,24.99166,13.99377,10.19289,2.053,,,,,,,,384,1344,2631,
Albania,2008,28748,3181950,110.68422,396600,365265,1061262,1065136,137664,156023,50.14303,49.85697,77.78,72.91,,,1.6,19.17428,25,,,,,,,44.83403,65.71711,14.66259,,56.48547,,23.74432,56.57854,43.06353,17.35593,11.73228,11.76471,7.14286,,,20.43011,-3.97146,13.05188,27.2,53.78168,65.63478,25845.27376,1080675.9,8769.10598,366665.16247,8196.71979,41.81329,83.8946,3.36076,29.58661,56.43098,-26.84437,113.40952,122.18234,117.93437,19.42054,10.77489,18.24678,24.72265,14.23963,10.47275,2.12277,,,,,,,,303,1256,,
Albania,2009,28748,3194417,111.11789,388901,358535,1069596,1077017,140550,159818,50.05755,49.94245,77.8,73.4,,,1.6,18.87153,25,,,,,,,43.89264,63.01883,11.4878,,55.65374,,22.46627,60.6051,43.59657,19.53214,1.17288,5.55556,,,42.47492,8.23529,0.95563,13.76226,27.2,54.47651,69.6781,27349.12136,1143936.5,9342.0784,390752.75318,8592.10551,41.82718,94.97812,2.27798,29.61699,53.80403,-24.18703,115.56931,124.19124,124.22798,19.40978,10.92773,17.28786,24.6669,13.74629,11.49792,2.46351,,,,,,,,378,1455,,
